Trial Identification,NCT#,Total number of clinical trials,Phase,Cancer Type,Sponsor,Findings,Conclusions,Study Groups,Group Info,GroupX1,GroupX2,GroupX3,GroupX4,GroupX5,GroupX6,GroupX7,GroupX8,GroupX9,GroupX10,GroupX11,GroupX12,GroupX13,GroupX14,GroupX15,GroupX16,GroupX17,GroupX18,GroupX19,GroupX20,GroupX21,GroupX22,GroupX23,GroupX24
Trial1-Info:gen-1728213435-jdA1kpC1x251bYcjJ7gi,Not specified (but ChiCTR2300073667),,Not specified (but likely Phase 2 or 3),Breast cancer,Not specified,Wearable device-based aerobic exercise during chemotherapy improved physical and mental health in breast cancer patients.,Wearable device-based aerobic exercise can be an effective adjunctive therapy to improve physical and mental health in breast cancer patients undergoing chemotherapy.,Study Groups - Exercise Group (n=21) and Control Group (n=19),Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group
Trial1-Info:gen-1728213496-X0mywDIGt8AmIwYDVKHg,Not mentioned,,Phase 3,ER+ HER2- metastatic breast cancer,Not specified,"The trial found that both ribociclib and palbociclib have similar CBR, PFS, and toxicity profiles.",The conclusions reached were that both ribociclib and palbociclib can be used as a second-line treatment in combination with fulvestrant in patients with ER+ HER2- metastatic breast cancer.,"Group1: Intervention Group; Drug Names: Ribociclib, Palbociclib; Unique Characteristics: Patients with ER+ HER2- metastatic breast cancer receiving either ribociclib or palbociclib in combination with fulvestrant.",Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group
Trial1-Info:gen-1728213529-ecYRRdoONuJMJPYCZ3c6,NCT04496739,,"Not specified (assumed to be Phase 3 or 4, as it's a cluster randomized controlled trial)",Atypical hyperplasia (AH) and lobular carcinoma in situ (LCIS) are high-risk breast lesions that increase the risk of developing breast cancer.,Not specified (no information on funding sources or sponsors),"The trial found that providers were interested in the early inclusion of decision aids in their chemoprevention discussion workflow, and that these aids may help overcome certain barriers to chemoprevention.",The trial concluded that a multi-faceted intervention with a decision aid as one active component may be needed to improve informed choice about chemoprevention among women with AH or LCIS.,Not specified (no information on specific study groups or arms),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trial1-Info:gen-1728213584-9WATBnFU2L66zZqkPy8m,ChiCTR2400082622,,Not specified (Protocol for a randomized controlled trial),"Central Nervous System (CNS) cancers, which includes brain and spinal cord cancers",Not specified,"Not applicable (this is a protocol for a randomized controlled trial, not the results of the trial)","Not applicable (this is a protocol for a randomized controlled trial, not the results of the trial)","Study Groups - Intervention Group, Control Group",Intervention Group,Intervention Group,Intervention Group,Intervention Group,Intervention Group,Intervention Group,Intervention Group,Intervention Group,Intervention Group,Intervention Group,Intervention Group,Intervention Group,Intervention Group,Intervention Group,Intervention Group,Intervention Group,Intervention Group,Intervention Group,Intervention Group,Intervention Group,Intervention Group,Intervention Group,Intervention Group,Intervention Group,Intervention Group
Trial1-Info:gen-1728213624-6CfvQJ5saZvDGlPm9oWF,Not provided,,Phase 3,Recurrent or metastatic cervical cancer,"Regeneron Pharmaceuticals, Inc. (collaboration with other organizations)",Cemiplimab monotherapy significantly improved overall survival (OS) versus chemotherapy in patients with recurrent or metastatic cervical cancer who progressed after first-line platinum-based chemotherapy.,"The trial suggests an emerging survival benefit of cemiplimab in Japanese patients with recurrent or metastatic cervical cancer, despite a shorter median duration of follow-up compared to the overall study population.",Study Groups - Cemiplimab (experimental group) and Chemotherapy (control group),Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group
Trial1-Info:gen-1728213667-ujKo3rCLaHhDDPrzQ8wV,"Unfortunately, no NCT# is provided within the clinical trial data. Some other numbers are mentioned and listed above.",,"The text does not specify the exact Phase of the clinical trials, but based on the information provided, it is mentioned that these are ""neoadjuvant trials"".",Invasive breast cancer,"Unfortunately, no sponsor information is available within the clinical trial data provided.",The novel findings of this trial are the discovery of the effectiveness of using on-treatment biopsies to predict the response to neoadjuvant chemotherapy in breast cancer. ,"The conclusions of this trial are that on-treatment biopsies can predict the response to neoadjuvant chemotherapy and may guide therapy adjustments, particularly in triple-negative breast cancer (TNBC) or HER2+ breast cancer.",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
Trial1-Info:gen-1728213695-5ONx86Rbg23tV0OjT2hz,NCT05233800,,Not specified (but likely Phase 2 or 3 given the nature of the study),"Breast cancer, specifically in survivors who have completed curative treatment",Not specified (but Dr. Lewin and Prof. Arem received grants from various institutions),The voice-activated CBT-I program improved insomnia symptoms in breast cancer survivors,"The trial found that the intervention improved insomnia symptoms, and future studies may explore how to scale and integrate this program into ambulatory care",Study Groups - Intervention Group (voice-activated CBT-I program) and Control Group (educational control),Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group
Trial1-Info:gen-1728213755-jBTPNYIdyvAe4SiHWGWH,Not Provided,,Phase Not Provided (but Randomized Controlled Trial suggests late Phase),"Not applicable (this trial is for breast reconstruction, not treating cancer)",Not Provided (likely academic or institutional support),The use of acellular dermal matrix (ADM) without basement membrane had similar surgical outcomes to traditional ADM with basement membrane and was safe in implant-based breast reconstruction.,"The trial demonstrates the safety and efficacy of using ADM without basement membrane in breast reconstruction, highlighting its potential benefits in improved mechanical properties.","Two groups: Study Group 1 (using ADM with basement membrane), Study Group 2 (using ADM without basement membrane)",Control Group,Control Group,Control Group,Control Group,Control Group,Control Group,Control Group,Control Group,Control Group,Control Group,Control Group,Control Group,Control Group,Control Group,Control Group,Control Group,Control Group,Control Group,Control Group,Control Group,Control Group,Control Group,Control Group,Control Group,Control Group
Trial1-Info:gen-1728213768-RaFfZfVTQZzvmaFUH9YC,NCT03021174,,"Not specified, but it is a pilot trial, which is often considered a precursor to a Phase 2 or 3 trial.",Various types of cancer that are treated with neurotoxic chemotherapy.,Not specified,"The trial found that exercise during neurotoxic chemotherapy may attenuate chemotherapy-induced peripheral neurotoxicity (CIPN) symptoms and signs, and that changes in interoceptive brain circuitry may play a role in this effect.","The trial concluded that exercise during neurotoxic chemotherapy is feasible and may be beneficial for reducing CIPN symptoms and signs, and that further research is needed to replicate these findings in a larger sample.",Study Groups - Exercise group (n=10) and Active Control group (n=9),Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group
Trial1-Info:gen-1728213820-tGIV5GdXVcVJLZEUVi3g,NCT04174599,,Phase 3,"Breast cancer is a type of cancer that occurs in the breast tissue, which is made up of glands, fat, and connective tissue.","Not explicitly stated, but the authors are affiliated with various universities and hospitals in China.",The trial found that a single fixed dose of 20mg of efbemalenograstim alfa (F-627) was as safe and effective as a daily dose of filgrastim 5 μg/kg/d in reducing neutropenia and its complications in patients who received four cycles of EC.,The trial concluded that F-627 is a safe and effective alternative to filgrastim for the prevention of chemotherapy-induced neutropenia in patients with breast cancer.,Study Groups - F-627 group and Filgrastim group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group,Intervention group
